YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2019,3,2,12.0,183.25,3370.3595483299987
2019,3,3,3.7,87.62,35.56887757213001
2019,3,4,6.22,138.31,612.8977453579989
2019,3,5,6.8,272.81,754.4539395139999
2019,3,6,6.44,266.69,810.005285046
2019,3,7,7.12,263.75,825.0618590980001
2019,3,8,2.7,267.0,0.6827403631431999
2019,3,9,5.66,82.38,574.1451486380001
2019,3,10,8.91,186.81,1863.5441491000017
2019,3,11,5.15,275.25,309.51546581810004
2019,3,12,7.03,238.0,919.9858368370005
2019,3,13,4.33,296.19,133.8428485042
2019,3,14,2.95,247.88,3.111389822196
2019,3,15,4.86,47.0,187.7020259
2019,3,16,4.91,47.81,238.82708756500017
2019,3,17,3.1,59.44,0.4469260026
2019,3,18,7.48,229.31,1176.2232582979987
2019,3,19,4.48,259.06,165.03992948999988
2019,3,20,4.48,244.12,158.69162688800003
2019,3,21,3.05,178.62,6.625674714140001
2019,3,22,6.59,228.44,742.1488714599999
2019,3,23,4.71,284.0,188.90499441779994
2019,3,24,5.28,202.75,339.86464997899986
2019,3,25,2.79,172.81,1.6817947878199997
2019,3,26,2.8,112.19,1.1205405717500003
2019,3,27,7.49,250.75,1135.0225449769998
2019,3,28,4.68,282.19,221.80734101839997
2019,3,29,8.66,267.75,1844.448560046001
2019,3,30,5.41,276.81,362.2824911480002
2019,3,31,5.2,221.38,349.28924623399996
2019,4,1,5.95,250.56,557.7368957759994
2019,4,2,5.84,274.88,447.6618884150001
2019,4,3,7.27,186.94,1028.0327984999997
2019,4,4,7.47,233.12,1095.6937049249996
2019,4,5,8.12,237.06,1549.0312963799993
2019,4,6,9.09,214.44,1937.9561561209985
2019,4,7,5.87,257.5,482.56672301
2019,4,8,6.52,258.19,580.6566868630002
2019,4,9,4.02,245.69,100.17848991830002
2019,4,10,6.65,266.69,779.6059320352998
2019,4,11,4.35,257.75,127.08339552379988
2019,4,12,7.84,225.44,813.6987181599997
2019,4,13,7.75,161.75,1124.262812259999
2019,4,14,6.22,246.19,620.0206744200001
2019,4,15,6.78,285.38,649.6803839565001
2019,4,16,5.62,255.69,426.91020142900015
2019,4,17,6.2,192.56,626.0297571080005
2019,4,18,3.46,46.81,32.032274718734996
2019,4,19,8.72,173.81,1720.7461327900005
2019,4,20,6.57,241.5,687.1818640090006
2019,4,21,6.25,228.5,640.8257336360003
2019,4,22,6.12,225.75,549.9633505359996
2019,4,23,5.84,230.06,462.0394473149998
2019,4,24,4.07,234.12,81.59090892669995
2019,4,25,4.07,237.19,83.28956813529997
2019,4,26,8.14,271.81,1605.4116822500007
2019,4,27,4.91,283.56,246.2677536090003
2019,4,28,4.77,263.25,167.6140243579999
2019,4,29,8.0,253.94,1165.4178174600002
2019,4,30,7.24,274.62,848.6584278120005
2019,5,1,6.46,249.94,689.0855340629998
2019,5,2,6.38,230.94,671.9127746419995
2019,5,3,6.77,132.19,747.9564602539999
2019,5,4,3.65,62.31,12.323582459570005
2019,5,5,6.09,233.19,600.4749536150003
2019,5,6,4.59,234.75,203.1198690950002
2019,5,7,6.03,234.56,563.9334903069994
2019,5,8,2.23,234.0,0.0
2019,5,9,1.68,237.88,0.0
2019,5,10,6.72,234.0,706.4160138550003
2019,5,11,3.82,231.69,34.62384513950002
2019,5,12,7.04,226.56,905.6209054240009
2019,5,13,5.41,235.19,385.06568298900004
2019,5,14,4.79,240.19,222.14663332500007
2019,5,15,7.7,224.31,1244.9379974300014
2019,5,16,6.58,237.56,782.5830704019992
2019,5,17,6.54,249.94,720.1409197790006
2019,5,18,7.55,244.81,1203.8417687099986
2019,5,19,2.98,239.44,6.808212717160001
2019,5,20,4.41,240.0,155.37841766899984
2019,5,21,9.1,263.0,1331.3640210400004
2019,5,22,6.06,243.31,635.0331472780001
2019,5,23,8.3,247.69,1569.0934007699993
2019,5,24,5.21,288.31,288.8212677637999
2019,5,25,4.25,287.25,99.83624466889997
2019,5,26,7.93,239.06,1299.7174415499999
2019,5,27,5.94,221.44,486.61930389400004
2019,5,28,8.56,265.5,1556.082531032001
2019,5,29,4.6,226.75,192.323451137
2019,5,30,6.62,180.06,699.4794433479998
2019,5,31,7.34,212.69,1066.3790662190004
2019,6,1,4.97,227.12,285.7774014160003
2019,6,2,3.89,232.94,88.8650343293
2019,6,3,1.71,226.56,0.5499223993199999
2019,6,4,3.2,227.62,10.420081026591998
2019,6,5,9.65,184.31,2209.6768896600006
2019,6,6,8.01,264.31,1674.6115687800013
2019,6,7,7.62,204.12,1239.1980052199995
2019,6,8,7.48,229.75,1179.1756984779986
2019,6,9,3.82,228.12,36.95456104350002
2019,6,10,3.3,221.44,21.776343685599997
2019,6,11,3.33,215.62,7.195854448466
2019,6,12,4.54,190.5,175.69719953799998
2019,6,13,2.55,135.81,0.02991198062
2019,6,14,2.03,123.31,0.0
2019,6,15,4.88,152.88,262.8245677760001
2019,6,16,2.82,192.19,7.393193149799999
2019,6,17,8.46,182.81,1735.84923827
2019,6,18,6.2,211.0,673.7275592149992
2019,6,19,8.59,222.75,1541.6564841299994
2019,6,20,6.84,221.12,757.046196901
2019,6,21,7.07,211.81,914.319877905
2019,6,22,6.14,228.38,566.2297784230004
2019,6,23,7.02,230.0,944.2720019570006
2019,6,24,5.81,219.06,474.5444885430003
2019,6,25,5.55,227.0,425.7084014999998
2019,6,26,5.32,239.0,349.57810576600025
2019,6,27,2.16,234.25,0.0
2019,6,28,1.57,239.31,0.0
2019,6,29,2.73,234.81,3.3051582345963997
2019,6,30,2.91,227.94,0.9130033159299998
2019,7,1,2.88,217.75,0.49320663746899995
2019,7,2,5.62,224.19,415.707349244
2019,7,3,7.24,230.88,1074.0061121420001
2019,7,4,3.66,233.5,60.54777366659999
2019,7,5,2.48,228.75,0.4795766675400001
2019,7,6,3.14,230.94,8.671251525329996
2019,7,7,5.02,225.5,305.26862976900003
2019,7,8,2.97,223.12,14.476554218600008
2019,7,9,2.95,229.31,2.4103652404480003
2019,7,10,2.47,228.38,0.47149203537000006
2019,7,11,1.16,232.62,0.0
2019,7,12,1.49,221.69,0.0
2019,7,13,3.9,225.5,71.11709392179998
2019,7,14,2.8,237.56,1.2341330220600002
2019,7,15,3.49,236.56,14.552777796119992
2019,7,16,2.09,228.69,-0.002218665928
2019,7,17,2.14,229.12,0.0
2019,7,18,5.79,224.81,406.59736540199987
2019,7,19,4.63,213.81,149.80351655700005
2019,7,20,6.49,213.06,484.7959503229998
2019,7,21,8.38,228.81,1588.6329956600002
2019,7,22,7.31,224.69,851.5352047379995
2019,7,23,4.87,223.94,194.19198166299992
2019,7,24,3.32,238.31,10.408877763659998
2019,7,25,3.93,239.12,73.43195500963998
2019,7,26,1.26,244.75,0.0
2019,7,27,2.3,242.69,0.3237088556379002
2019,7,28,6.52,240.75,716.1564080840004
2019,7,29,3.09,289.38,1.0452616112289999
2019,7,30,5.26,109.94,438.42038392199953
2019,7,31,9.2,241.25,2112.5608166200004
2019,8,1,4.83,229.38,195.40054366650006
2019,8,2,4.72,222.94,218.0853634620001
2019,8,3,3.45,221.31,40.16034906289998
2019,8,4,3.74,229.44,46.80721875647
2019,8,5,3.14,222.94,17.03874645541001
2019,8,6,4.1,215.31,76.85716850469994
2019,8,7,3.38,222.75,39.97778633380001
2019,8,8,5.79,207.31,410.4822003200001
2019,8,9,4.59,279.25,168.39854215910003
2019,8,10,6.15,199.0,589.3334515359999
2019,8,11,3.12,166.06,1.473724147088
2019,8,12,8.6,200.88,1056.4912775120004
2019,8,13,3.45,192.12,30.97958499291
2019,8,14,2.85,185.38,4.3291060233200005
2019,8,15,1.85,213.25,0.0
2019,8,16,2.55,216.81,0.2521736726499999
2019,8,17,2.52,216.25,0.15030703010799995
2019,8,18,3.3,210.94,16.64743318058
2019,8,19,3.76,210.44,25.9597123757
2019,8,20,3.73,221.69,25.7450568037
2019,8,21,3.3,229.94,10.710390754024
2019,8,22,3.16,223.56,15.987548484100005
2019,8,23,3.52,223.06,14.696088779990003
2019,8,24,3.84,218.5,77.30241996719992
2019,8,25,3.27,214.06,35.47609367410002
2019,8,26,3.81,223.75,52.13551087950005
2019,8,27,6.7,236.56,630.9165629629997
2019,8,28,6.25,186.38,651.6908129979998
2019,8,29,3.21,123.06,8.528337380892003
2019,8,30,3.77,115.44,74.39426042730004
