YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2019,3,7,6.06,268.5,584.6206463739996
2019,3,8,3.21,309.81,17.49546547635
2019,3,9,6.77,101.38,773.8542883709994
2019,3,10,8.87,251.94,1713.4815251409993
2019,3,11,4.23,269.56,133.1796192337895
2019,3,12,6.73,242.12,814.2027288940002
2019,3,13,3.54,286.06,38.23829422067998
2019,3,14,4.7,302.0,198.25305983799993
2019,3,15,3.52,106.5,30.43000659919997
2019,3,16,4.59,58.31,184.0644470180001
2019,3,17,4.3,136.5,143.28753730969993
2019,3,18,7.88,271.44,1352.5823522599994
2019,3,19,3.77,265.56,50.236069355900014
2019,3,20,5.74,291.75,309.60136397879984
2019,3,21,7.62,239.62,1138.18205689
2019,3,22,7.84,242.81,1286.3644823399984
2019,3,23,5.43,276.75,386.09775146299995
2019,3,24,6.98,264.19,680.2213317689993
2019,3,25,2.96,219.19,4.808144297610002
2019,3,26,6.48,187.38,692.6354907259994
2019,3,27,6.09,270.88,573.2751794540001
2019,3,28,7.87,267.44,1405.1494518299994
2019,3,29,5.89,269.38,470.56828321299975
2019,3,30,5.9,244.0,374.3925036640001
2019,3,31,5.97,213.56,523.7817489459994
2019,4,1,7.58,269.88,996.9816618600006
2019,4,2,7.7,254.69,1207.259140730001
2019,4,3,10.25,237.0,2380.203905493998
2019,4,4,6.95,249.12,932.7024609309999
2019,4,5,7.03,242.44,924.3315728949998
2019,4,6,8.27,243.38,1547.9711705599998
2019,4,7,4.74,252.25,236.07077286099985
2019,4,8,9.09,262.25,1372.675975358
2019,4,9,3.12,254.81,1.939147304278
2019,4,10,6.2,262.88,681.0820862030004
2019,4,11,3.41,262.31,16.402085220938005
2019,4,12,6.26,247.38,667.1889526140004
2019,4,13,8.12,254.5,1091.5629894299993
2019,4,14,6.38,230.44,660.0308111429995
2019,4,15,6.63,279.69,767.6214453250001
2019,4,16,5.16,258.94,285.12846556700026
2019,4,17,4.5,294.12,151.61106949500012
2019,4,18,4.59,156.94,171.29831132099991
2019,4,19,8.84,266.31,1645.9111402699998
2019,4,20,5.06,257.12,257.14600375110024
2019,4,21,5.34,250.06,336.2172631669999
2019,4,22,5.63,246.94,463.2259371999998
2019,4,23,5.65,249.75,434.7811090030001
2019,4,24,3.37,246.38,27.17422821952001
2019,4,25,3.12,246.19,6.124993528068001
2019,4,26,6.68,271.0,669.9066799760002
2019,4,27,5.48,280.75,275.5672821089
2019,4,28,3.93,262.44,69.58238099227998
2019,4,29,7.6,258.69,1034.6129187620006
2019,4,30,7.88,226.94,1357.0264464200006
2019,5,1,7.45,234.25,1201.5562561120012
2019,5,2,8.29,246.38,1582.7091002599998
2019,5,3,6.03,250.19,549.6665023779996
2019,5,4,7.84,226.19,704.7191478700001
2019,5,5,5.23,244.94,334.43661530300005
2019,5,6,3.58,242.94,4.496777744309999
2019,5,7,3.28,246.06,9.0900005628
2019,5,8,1.93,241.88,0.07099193573099999
2019,5,9,2.01,248.12,0.0
2019,5,10,3.06,248.62,2.2108717673665996
2019,5,11,3.29,245.0,2.5664874028500004
2019,5,12,4.15,241.06,74.85740620659999
2019,5,13,4.14,246.0,112.29004283839997
2019,5,14,2.98,247.75,4.845642977019999
2019,5,15,5.95,232.69,563.7116400379995
2019,5,16,5.82,243.12,518.919912124
2019,5,17,5.04,252.75,257.6137480040001
2019,5,18,4.59,255.81,190.17144486300003
2019,5,19,2.39,252.75,0.18452926636
2019,5,20,3.05,249.56,1.8941285335228002
2019,5,21,4.23,262.56,111.70897014827642
2019,5,22,3.65,255.81,31.905263747299998
2019,5,23,5.09,255.62,268.4044168199999
2019,5,24,6.41,276.44,727.2241558679999
2019,5,25,6.09,273.44,577.4528650010001
2019,5,26,6.98,237.94,889.4263757479994
2019,5,27,5.66,238.12,419.4416137610003
2019,5,28,6.91,253.12,911.2357220390011
2019,5,29,1.73,245.25,0.0
2019,5,30,8.55,232.5,1774.3437374989994
2019,5,31,6.55,225.56,688.9975757009996
